# Region type : patch outlet
# Faces        : 34923
# Area         : 6.0186191e-04
# Scale factor : 1.0000000e+00
# Time         	areaAverage(p)
0.0288341      	5.5199543e-01
0.0289133      	5.5335094e-01
0.0289921      	5.5720657e-01
0.0290707      	5.5855308e-01
0.0291488      	5.6239873e-01
0.0292267      	5.6373642e-01
0.0293042      	5.6757227e-01
0.0293814      	5.6890131e-01
0.0294583      	5.7272753e-01
0.0295348      	5.7404807e-01
0.0296111      	5.7786482e-01
0.029687       	5.7917703e-01
0.0297626      	5.8298445e-01
0.029838       	5.8428849e-01
0.029913       	5.8808674e-01
0.0299877      	5.8938276e-01
0.0300621      	5.9317199e-01
0.0301362      	5.9446493e-01
0.0302101      	5.9824622e-01
0.0302836      	5.9953140e-01
0.0303569      	6.0330393e-01
0.0304299      	6.0458149e-01
0.0305026      	6.0834540e-01
0.030575       	6.0961547e-01
0.0306472      	6.1337088e-01
0.0307191      	6.1463359e-01
0.0307907      	6.1838063e-01
0.030862       	6.1963612e-01
0.0309331      	6.2337491e-01
0.0310039      	6.2462328e-01
0.0310745      	6.2835364e-01
0.0311448      	6.2958968e-01
0.0312149      	6.3331204e-01
0.0312847      	6.3454122e-01
0.0313542      	6.3825571e-01
0.0314236      	6.3947814e-01
0.0314926      	6.4318485e-01
0.0315614      	6.4440065e-01
0.03163        	6.4809970e-01
0.0316984      	6.4930896e-01
0.0317665      	6.5300046e-01
0.0318343      	6.5420329e-01
0.031902       	6.5788734e-01
0.0319694      	6.5908385e-01
0.0320366      	6.6276054e-01
0.0321035      	6.6395081e-01
0.0321703      	6.6762025e-01
0.0322368      	6.6880439e-01
0.0323031      	6.7246666e-01
0.0323692      	6.7364477e-01
0.032435       	6.7729997e-01
0.0325006      	6.7847213e-01
0.0325661      	6.8212035e-01
0.0326313      	6.8328666e-01
0.0326963      	6.8692798e-01
0.0327611      	6.8808852e-01
0.0328257      	6.9172304e-01
0.0328901      	6.9287789e-01
0.0329543      	6.9650568e-01
0.0330182      	6.9765494e-01
0.033082       	7.0127764e-01
0.0331456      	7.0242526e-01
0.033209       	7.0604139e-01
0.0332722      	7.0718356e-01
0.0333352      	7.1079320e-01
0.033398       	7.1192999e-01
0.0334606      	7.1553321e-01
0.033523       	7.1666470e-01
0.0335853      	7.2026157e-01
0.0336473      	7.2138784e-01
0.0337092      	7.2497845e-01
0.0337709      	7.2609956e-01
0.0338324      	7.2968397e-01
0.0338937      	7.3080000e-01
0.0339548      	7.3437828e-01
0.0340158      	7.3548930e-01
0.0340766      	7.3906014e-01
0.0341372      	7.4016226e-01
0.0341976      	7.4372712e-01
0.0342579      	7.4482437e-01
0.0343179      	7.4838331e-01
0.0343779      	7.4947577e-01
0.0344376      	7.5302886e-01
0.0344972      	7.5411658e-01
0.0345566      	7.5766388e-01
0.0346158      	7.5874693e-01
0.0346749      	7.6228851e-01
0.0347338      	7.6336695e-01
0.0347926      	7.6690286e-01
0.0348512      	7.6797674e-01
0.0349096      	7.7150705e-01
0.0349679      	7.7257644e-01
0.035026       	7.7610119e-01
0.035084       	7.7716850e-01
0.0351418      	7.8069065e-01
0.0351994      	7.8175357e-01
0.0352569      	7.8527027e-01
0.0353143      	7.8632886e-01
