(
(0.000000	0.00000000)
(0.001000	0.07917541)
(0.002000	0.32081588)
(0.003000	0.73204869)
(0.004000	1.32133048)
(0.005000	2.09851033)
(0.006000	3.07488569)
(0.007000	4.26325137)
(0.008000	5.67793868)
(0.009000	7.33484813)
(0.010000	9.25146999)
(0.011000	11.44689821)
(0.012000	13.94183051)
(0.013000	16.75856169)
(0.014000	19.92096274)
(0.015000	23.45445416)
(0.016000	27.38596199)
(0.017000	31.74386743)
(0.018000	36.55794818)
(0.019000	41.85929921)
(0.020000	47.68026093)
(0.021000	54.05431742)
(0.022000	61.01600049)
(0.023000	68.60078612)
(0.024000	76.84496641)
(0.025000	85.78553635)
(0.026000	95.46005992)
(0.027000	105.90653009)
(0.028000	117.16324381)
(0.029000	129.26864302)
(0.030000	142.26118004)
(0.031000	156.17916832)
(0.032000	171.06062667)
(0.033000	186.94314739)
(0.034000	203.86374185)
(0.035000	221.85868838)
(0.036000	240.96340790)
(0.037000	261.21232931)
(0.038000	282.63873343)
(0.039000	305.27465434)
(0.040000	329.15075605)
(0.041000	354.29619630)
(0.042000	380.73856704)
(0.043000	408.50376438)
(0.044000	437.61589866)
(0.045000	468.09725787)
(0.046000	499.96820957)
(0.047000	533.24713638)
(0.048000	567.95043088)
(0.049000	604.09241895)
(0.050000	641.68537349)
(0.051000	680.73947640)
(0.052000	721.26283487)
(0.053000	763.26148509)
(0.054000	806.73939702)
(0.055000	851.69729517)
(0.056000	898.12202467)
(0.057000	945.99100241)
(0.058000	995.27805712)
(0.059000	1045.95365499)
(0.060000	1097.98512626)
(0.061000	1151.33685912)
(0.062000	1205.97065016)
(0.063000	1261.84584974)
(0.064000	1318.91971041)
(0.065000	1377.14769821)
(0.066000	1436.48375192)
(0.067000	1496.88056922)
(0.068000	1558.29001966)
(0.069000	1620.66330679)
(0.070000	1683.95144085)
(0.071000	1748.10539707)
(0.072000	1813.07652594)
(0.073000	1878.81678199)
(0.074000	1945.27900026)
(0.075000	2012.41721002)
(0.076000	2080.18685175)
(0.077000	2148.54498186)
(0.078000	2217.45054799)
(0.079000	2286.86451140)
(0.080000	2356.75012100)
(0.081000	2427.07291561)
